epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8094,1.71696,4.24638,0.02854,0.0013,0.17643,0.00212,0.00061,2.31702,4.03346,0.04969,0.000327273,0.000327273,0.0676
2,26.6009,1.58305,3.57638,0.02463,0.02671,0.60401,0.0923,0.03714,1.71844,3.5085,0.03332,0.000656246,0.000656246,0.0345956
3,38.4955,1.52465,3.18615,0.02369,0.17634,0.22524,0.15957,0.06829,1.82684,2.73884,0.03538,0.000980819,0.000980819,0.00158688
4,50.46,1.54236,2.98853,0.02411,0.30226,0.3167,0.25409,0.09848,1.83983,2.63462,0.03635,0.0009802,0.0009802,0.0009802
5,62.3374,1.5411,2.82378,0.02394,0.26255,0.33852,0.26365,0.10404,1.86162,2.55831,0.03561,0.0009736,0.0009736,0.0009736
6,74.3697,1.5291,2.68723,0.02428,0.34479,0.35341,0.30477,0.11956,1.9744,2.39533,0.04044,0.000967,0.000967,0.000967
7,86.4051,1.49803,2.55502,0.02399,0.32695,0.41438,0.33964,0.14586,1.8569,2.16408,0.03697,0.0009604,0.0009604,0.0009604
8,98.4148,1.52053,2.52201,0.02472,0.36042,0.39307,0.37012,0.16776,1.69525,2.11316,0.03209,0.0009538,0.0009538,0.0009538
9,110.607,1.52933,2.46944,0.02418,0.41297,0.4294,0.43056,0.20416,1.81152,1.79558,0.03733,0.0009472,0.0009472,0.0009472
10,122.665,1.50959,2.38582,0.02337,0.4131,0.38496,0.36739,0.17882,1.81144,1.98104,0.03759,0.0009406,0.0009406,0.0009406
11,134.715,1.50861,2.29575,0.02322,0.41714,0.43233,0.43875,0.22127,1.69773,1.7467,0.03448,0.000934,0.000934,0.000934
12,146.824,1.53676,2.28135,0.02359,0.62835,0.44089,0.47308,0.19256,1.90866,1.86236,0.03982,0.0009274,0.0009274,0.0009274
13,158.905,1.52287,2.24312,0.025,0.45626,0.53256,0.48208,0.21221,1.87704,1.69971,0.03737,0.0009208,0.0009208,0.0009208
14,171.033,1.50021,2.19078,0.02288,0.52115,0.52881,0.5539,0.27421,1.69851,1.50948,0.03467,0.0009142,0.0009142,0.0009142
15,183.102,1.48233,2.13546,0.02401,0.53735,0.45672,0.48344,0.22892,1.73547,1.81747,0.03467,0.0009076,0.0009076,0.0009076
16,195.25,1.52528,2.17052,0.024,0.47792,0.52451,0.51562,0.22481,1.89509,1.64231,0.04126,0.000901,0.000901,0.000901
17,207.323,1.49021,2.09674,0.02347,0.59572,0.48313,0.5738,0.2809,1.68704,1.47993,0.03321,0.0008944,0.0008944,0.0008944
18,219.686,1.51457,2.113,0.02367,0.63527,0.50396,0.57729,0.31681,1.53313,1.43057,0.02924,0.0008878,0.0008878,0.0008878
19,231.86,1.47402,2.06505,0.02378,0.60356,0.48556,0.56035,0.26473,1.73515,1.53784,0.03417,0.0008812,0.0008812,0.0008812
20,243.941,1.49432,2.00922,0.02279,0.58047,0.62014,0.62653,0.30258,1.72331,1.339,0.03309,0.0008746,0.0008746,0.0008746
21,256.078,1.48436,1.97011,0.02346,0.60627,0.56167,0.61911,0.31397,1.64459,1.36385,0.03158,0.000868,0.000868,0.000868
22,268.245,1.504,2.01525,0.02388,0.6133,0.53307,0.60006,0.32699,1.54297,1.39848,0.02986,0.0008614,0.0008614,0.0008614
23,280.505,1.48352,1.98468,0.02347,0.50553,0.55319,0.5334,0.28918,1.5218,1.56998,0.02883,0.0008548,0.0008548,0.0008548
24,292.692,1.4459,1.92378,0.02292,0.56604,0.5738,0.61729,0.35293,1.4763,1.30907,0.02777,0.0008482,0.0008482,0.0008482
25,304.89,1.47512,1.91897,0.02337,0.67331,0.54387,0.63759,0.30601,1.74512,1.31525,0.03398,0.0008416,0.0008416,0.0008416
26,317.167,1.45766,1.91006,0.02287,0.59221,0.65462,0.65932,0.33885,1.57976,1.32287,0.03155,0.000835,0.000835,0.000835
27,329.47,1.46071,1.86596,0.02257,0.61169,0.60354,0.60599,0.32643,1.54202,1.24382,0.02824,0.0008284,0.0008284,0.0008284
28,341.867,1.45343,1.83994,0.02325,0.64714,0.63812,0.67091,0.36044,1.57511,1.17983,0.03087,0.0008218,0.0008218,0.0008218
