epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6882,1.87675,3.16757,2.07204,0.21094,0.12553,0.06869,0.0155,2.51647,3.8963,3.24944,0.000327273,0.000327273,0.0676
2,18.0862,1.77071,2.62263,2.00628,0.39322,0.40322,0.24921,0.08621,2.06315,3.96619,2.39559,0.000647526,0.000647526,0.0345869
3,25.6802,1.72113,2.39203,1.98528,0.278,0.43558,0.30004,0.12283,1.90616,3.9271,2.27777,0.000954579,0.000954579,0.00156064
4,33.252,1.71324,2.36034,1.99293,0.35002,0.45625,0.37319,0.13582,2.08992,2.48088,2.43282,0.0009406,0.0009406,0.0009406
5,41.1208,1.70087,2.26617,1.97575,0.38441,0.45605,0.39208,0.15877,1.98946,2.29538,2.28978,0.0009208,0.0009208,0.0009208
6,48.7697,1.68033,2.19786,1.95785,0.51997,0.42727,0.43766,0.17864,1.98256,2.07014,2.25906,0.000901,0.000901,0.000901
7,56.3474,1.62264,2.10439,1.91481,0.49442,0.50926,0.46241,0.18653,1.95515,1.99581,2.17274,0.0008812,0.0008812,0.0008812
8,63.9686,1.61239,2.07822,1.906,0.51513,0.55337,0.54086,0.22202,1.88068,1.84644,2.19726,0.0008614,0.0008614,0.0008614
9,71.5839,1.63519,2.04826,1.90968,0.48837,0.468,0.4723,0.18615,1.99973,2.11284,2.18467,0.0008416,0.0008416,0.0008416
10,79.2278,1.61914,1.99952,1.88694,0.56789,0.51121,0.53237,0.2257,1.91749,1.81392,2.16891,0.0008218,0.0008218,0.0008218
11,86.9643,1.60538,1.97277,1.87904,0.56592,0.5386,0.56709,0.27376,1.69619,1.72477,1.94912,0.000802,0.000802,0.000802
12,94.8001,1.60552,1.92438,1.87105,0.65398,0.52907,0.57839,0.25031,1.81368,1.77219,2.12649,0.0007822,0.0007822,0.0007822
13,102.487,1.56487,1.94684,1.86086,0.56278,0.60143,0.5813,0.2316,1.90268,1.72746,2.09003,0.0007624,0.0007624,0.0007624
14,110.21,1.54947,1.88332,1.83712,0.52081,0.59935,0.58059,0.28391,1.71769,1.60942,1.98592,0.0007426,0.0007426,0.0007426
15,117.958,1.5179,1.82646,1.83597,0.65656,0.53999,0.61515,0.2945,1.74624,1.60552,2.04524,0.0007228,0.0007228,0.0007228
16,125.726,1.56201,1.84098,1.82783,0.64546,0.59099,0.62681,0.28199,1.87182,1.63118,2.09048,0.000703,0.000703,0.000703
17,133.464,1.52655,1.80348,1.81196,0.65093,0.56398,0.62086,0.28707,1.77261,1.53116,2.004,0.0006832,0.0006832,0.0006832
18,141.222,1.52776,1.79793,1.81322,0.71354,0.62036,0.67209,0.30649,1.83357,1.4709,2.09363,0.0006634,0.0006634,0.0006634
