epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1995,1.91619,2.88322,2.12004,0.35659,0.40748,0.25489,0.09974,2.05457,4.16564,2.40969,0.000327273,0.000327273,0.0676
2,41.4655,1.77068,2.3557,2.04709,0.31297,0.45116,0.33307,0.1395,1.86541,6.09643,2.28873,0.000647526,0.000647526,0.0345869
3,58.7667,1.74661,2.2407,2.03142,0.35149,0.36163,0.29955,0.11566,2.0863,3.75943,2.42075,0.000954579,0.000954579,0.00156064
4,76.0687,1.72232,2.22924,2.03392,0.40786,0.30138,0.25598,0.09382,2.19667,3.43007,2.51749,0.0009406,0.0009406,0.0009406
5,93.3541,1.72053,2.17683,1.99993,0.43744,0.48104,0.4043,0.16541,2.03756,2.58271,2.29402,0.0009208,0.0009208,0.0009208
6,111.328,1.70755,2.13441,2.0009,0.54118,0.48328,0.47983,0.20783,1.89781,2.17498,2.22862,0.000901,0.000901,0.000901
7,128.75,1.63687,2.02534,1.95238,0.54664,0.48064,0.49777,0.22131,1.92173,1.94802,2.22815,0.0008812,0.0008812,0.0008812
8,146.249,1.61116,2.0192,1.92992,0.50823,0.4873,0.47158,0.20723,1.84909,1.97229,2.18013,0.0008614,0.0008614,0.0008614
9,174.609,1.63794,2.00382,1.93344,0.56251,0.55086,0.54706,0.24723,1.8237,1.69028,2.05804,0.0008416,0.0008416,0.0008416
10,192.437,1.60011,1.92348,1.90016,0.58992,0.52783,0.59201,0.27145,1.75739,1.71431,2.07224,0.0008218,0.0008218,0.0008218
11,209.932,1.57677,1.86233,1.86284,0.53528,0.57553,0.53902,0.27622,1.69056,1.76376,1.95512,0.000802,0.000802,0.000802
12,227.532,1.59113,1.81939,1.8833,0.52885,0.54834,0.52379,0.22347,1.91996,1.97359,2.15584,0.0007822,0.0007822,0.0007822
13,245.356,1.55862,1.88307,1.87135,0.64522,0.60535,0.6391,0.26343,1.93062,1.65935,2.19604,0.0007624,0.0007624,0.0007624
14,262.788,1.54403,1.77803,1.83975,0.70149,0.67596,0.71911,0.34109,1.68733,1.48431,1.9806,0.0007426,0.0007426,0.0007426
15,280.372,1.50866,1.73307,1.83633,0.73496,0.60683,0.68646,0.32834,1.7247,1.48432,2.00939,0.0007228,0.0007228,0.0007228
16,298.027,1.54499,1.74531,1.83513,0.58668,0.61055,0.64204,0.29047,1.81464,1.61243,2.0871,0.000703,0.000703,0.000703
17,320.014,1.51221,1.71275,1.80292,0.71952,0.64604,0.72201,0.34201,1.76129,1.33109,1.99377,0.0006832,0.0006832,0.0006832
18,338.219,1.53572,1.72985,1.82736,0.7188,0.70985,0.73675,0.37563,1.67157,1.33278,1.95329,0.0006634,0.0006634,0.0006634
19,356.435,1.48171,1.67083,1.80404,0.64703,0.67943,0.65025,0.29496,1.85975,1.40918,2.0935,0.0006436,0.0006436,0.0006436
20,375.263,1.48005,1.59992,1.78323,0.73107,0.68225,0.745,0.34928,1.78714,1.3105,2.00768,0.0006238,0.0006238,0.0006238
21,393.537,1.4674,1.56665,1.76942,0.68333,0.68531,0.73763,0.39363,1.54793,1.29341,1.81925,0.000604,0.000604,0.000604
22,414.752,1.47826,1.60045,1.79389,0.7527,0.66829,0.73199,0.36765,1.61022,1.26023,1.91183,0.0005842,0.0005842,0.0005842
23,443.527,1.4502,1.59299,1.76721,0.76428,0.69483,0.75712,0.3952,1.58253,1.20072,1.84019,0.0005644,0.0005644,0.0005644
24,461.021,1.42987,1.53276,1.75045,0.72633,0.72966,0.77117,0.39779,1.61042,1.19904,1.89146,0.0005446,0.0005446,0.0005446
25,478.535,1.44391,1.55752,1.74982,0.73077,0.72746,0.75818,0.37153,1.74814,1.2099,1.9702,0.0005248,0.0005248,0.0005248
26,496.165,1.42776,1.51032,1.73608,0.80064,0.70067,0.78246,0.39407,1.6312,1.14671,1.90987,0.000505,0.000505,0.000505
27,513.912,1.42558,1.45894,1.72236,0.76656,0.74765,0.79915,0.40133,1.62054,1.11978,1.91206,0.0004852,0.0004852,0.0004852
